"genus" "species"
"333" "Squilla" "mantis"
"334" "Sergia" "robusta"
"335" "Sternaspis" "scutata"
"336" "Stichastrella" "rosea"
"337" "Stoloteuthis" "leucoptera"
"338" "Styela" "clava"
"339" "Suberites" "ficus"
"340" "Systellaspis" "debilis"
"341" "Systellaspis" "pellucida"
"342" "Tamarisca" "tamarisca"
"343" "Terebratulina" "retusa"
"344" "Tethyaster" "subinermis"
"345" "Tethys" "fimbria"
"346" "Thetys" "vagina"
"347" "Thia" "scutellata"
"348" "Thuiaria" "articulata"
"349" "Thyone" "fusus"
"350" "Timoclea" "ovata"
"351" "Todarodes" "sagittatus"
"352" "Todaropsis" "eblanae"
"353" "Tritonia" "hombergii"
"354" "Tritia" "reticulata"
"355" "Turritella" "communis"
"356" "Urticina" "eques"
"357" "Urticina" "felina"
"358" "Venus" "casina"
"359" "Veretillum" "cynomorium"
"360" "Xantho" "pilipes"
"361" "Xylophaga" "dorsalis"
"362" "Zoroaster" "fulgens"
